clap_rank,guitar_rank,hat_rank,kick_rank,piano_rank,rim_rank,shake_rank,snare_rank,synth_rank,clap,guitar,hat,kick,piano,rim,shake,snare,synth,oscType_0,isNoise_0,A_0,D_0,S_0,R_0,pitch_0_0,pitch_1_0,pitch_2_0,pitch_3_0,bpCutLow_0,bpCutHigh_0,bpOrder_0,amplitude_0,start_0,length_0
6.0,2.0,4.0,8.0,3.0,7.0,9.0,5.0,1.0,0.08231256157159805,0.14880286157131195,0.1081462949514389,0.02208293043076992,0.12320514768362045,0.059515781700611115,0.0,0.0932416319847107,0.36269280314445496,0,1,1,2,1,3,88,100,88,32,70,78,1,3,9,0
9.0,3.0,5.0,2.0,7.0,6.0,8.0,4.0,1.0,0.0,0.1675756573677063,0.12827403843402863,0.17382057011127472,0.09566818922758102,0.09857717901468277,0.0029186939354985952,0.13305258750915527,0.20011307299137115,0,0,0,2,1,3,60,36,88,16,20,103,0,1,4,0
5.0,1.0,6.0,8.0,4.0,7.0,9.0,3.0,2.0,0.11854695528745651,0.1963634192943573,0.11773735284805298,0.03791988641023636,0.13736368715763092,0.10928571969270706,0.0,0.13816148042678833,0.14462149143218994,0,1,0,1,2,0,30,12,80,64,18,81,0,1,0,1
8.0,5.0,3.0,4.0,7.0,1.0,9.0,6.0,2.0,0.024143371731042862,0.10965801775455475,0.16917935013771057,0.15060552954673767,0.039592526853084564,0.2255629450082779,0.0,0.06052003800868988,0.2207382172346115,2,1,2,1,1,3,102,24,16,16,110,111,1,1,5,4
9.0,2.0,4.0,5.0,3.0,6.0,8.0,7.0,1.0,0.0,0.15641923248767853,0.1229967474937439,0.10648499429225922,0.13273470103740692,0.08455634862184525,0.020667295902967453,0.08414200693368912,0.2919986844062805,0,0,3,1,2,0,80,68,72,64,62,116,1,0,0,1
7.0,2.0,3.0,8.0,6.0,5.0,9.0,4.0,1.0,0.07953749597072601,0.18383124470710754,0.14416827261447906,0.050255149602890015,0.08384351432323456,0.11099991202354431,0.0,0.12289633601903915,0.22446808218955994,0,1,2,0,3,3,84,44,40,48,16,102,2,3,6,2
9.0,5.0,3.0,1.0,6.0,7.0,8.0,4.0,2.0,0.0,0.14987865090370178,0.17235681414604187,0.1861448734998703,0.10773263871669769,0.041820865124464035,0.0020627733319997787,0.15484967827796936,0.18515366315841675,1,0,1,0,2,2,16,16,104,16,0,116,1,3,4,1
9.0,2.0,3.0,4.0,7.0,6.0,8.0,5.0,1.0,0.0,0.19364121556282043,0.17139394581317902,0.12909378111362457,0.04351725056767464,0.06832247972488403,0.026291780173778534,0.09450402110815048,0.2732355296611786,0,0,2,1,2,3,76,20,48,64,60,119,0,3,0,2
9.0,6.0,2.0,3.0,8.0,4.0,7.0,5.0,1.0,0.0,0.08220551162958145,0.17185081541538239,0.14543592929840088,0.02302422560751438,0.13080590963363647,0.07936261594295502,0.121731236577034,0.24558377265930176,0,0,1,2,3,1,46,16,96,64,92,98,2,1,1,4
8.0,3.0,2.0,6.0,7.0,5.0,9.0,4.0,1.0,0.008302879519760609,0.13870230317115784,0.14798222482204437,0.10963010787963867,0.06500793248414993,0.11453729122877121,0.0,0.13841135799884796,0.2774259150028229,0,0,2,0,1,3,90,68,16,0,68,105,1,2,6,2
